name,type,skin,# attributes,hair,eyes,mouth,mouth prop,facial hair,neck,ears,blemishes,nose
CryptoPunk #173,Female,Dark,5,Messy Hair,Clown Eyes Blue,Hot Lipstick,Pipe,,,,Mole,
CryptoPunk #174,Male,Dark,3,Wild Hair,Horned Rim Glasses,,,,,Earring,,
CryptoPunk #175,Male,Medium,2,Cap,Big Shades,,,,,,,
CryptoPunk #176,Female,Dark,4,Wild Hair,Regular Shades,Purple Lipstick,,,,Earring,,
CryptoPunk #177,Male,Dark,2,Bandana,,,,Luxurious Beard,,,,
CryptoPunk #178,Male,Medium,1,Fedora,,,,,,,,
CryptoPunk #179,Male,Albino,3,Mohawk Thin,Classic Shades,,,Shadow Beard,,,,
CryptoPunk #180,Female,Dark,2,Pilot Helmet,,Hot Lipstick,,,,,,
CryptoPunk #181,Male,Dark,1,Mohawk,,,,,,,,
CryptoPunk #182,Male,Albino,1,Peak Spike,,,,,,,,
CryptoPunk #183,Male,Light,1,,,,,Shadow Beard,,,,
CryptoPunk #184,Female,Dark,2,Blonde Bob,Green Eye Shadow,,,,,,,
CryptoPunk #185,Female,Light,2,Wild White Hair,,Hot Lipstick,,,,,,
CryptoPunk #186,Male,Dark,2,Crazy Hair,,,,Mustache,,,,
CryptoPunk #187,Female,Light,1,Straight Hair,,,,,,,,
CryptoPunk #188,Male,Dark,3,Peak Spike,Nerd Glasses,,,,,Earring,,
CryptoPunk #189,Female,Light,2,Mohawk Thin,,Purple Lipstick,,,,,,
CryptoPunk #190,Male,Dark,1,Headband,,,,,,,,
CryptoPunk #191,Female,Dark,1,Mohawk,,,,,,,,
CryptoPunk #192,Male,Medium,4,Mohawk Thin,Nerd Glasses,,,,,Earring,,Clown Nose
CryptoPunk #193,Female,Light,3,Tassle Hat,Green Eye Shadow,,,,,Earring,,
CryptoPunk #194,Male,Light,2,Wild Hair,Clown Eyes Green,,,,,,,
CryptoPunk #195,Female,Light,2,Straight Hair Blonde,Nerd Glasses,,,,,,,
CryptoPunk #196,Female,Light,3,Tassle Hat,Big Shades,Hot Lipstick,,,,,,
CryptoPunk #197,Male,Dark,2,Frumpy Hair,Eye Patch,,,,,,,
CryptoPunk #198,Male,Medium,2,Beanie,,,,Luxurious Beard,,,,
CryptoPunk #199,Female,Light,2,Blonde Short,Classic Shades,,,,,,,
CryptoPunk #200,Female,Dark,1,Wild Hair,,,,,,,,
CryptoPunk #201,Female,Medium,4,Dark Hair,Blue Eye Shadow,Hot Lipstick,Cigarette,,,,,
CryptoPunk #202,Female,Light,3,Headband,,Purple Lipstick,,,,Earring,,
CryptoPunk #203,Male,Light,3,Messy Hair,Regular Shades,,,Front Beard,,,,
CryptoPunk #204,Male,Medium,2,Crazy Hair,Regular Shades,,,,,,,
CryptoPunk #205,Male,Medium,3,Mohawk Dark,Big Shades,,,Normal Beard Black,,,,
CryptoPunk #206,Male,Light,3,Cap Forward,,,Cigarette,,,,,Clown Nose
CryptoPunk #207,Male,Light,3,Peak Spike,Eye Patch,,Pipe,,,,,
CryptoPunk #208,Male,Medium,3,Shaved Head,3D Glasses,,,,,Earring,,
CryptoPunk #209,Female,Dark,2,Stringy Hair,,Hot Lipstick,,,,,,
CryptoPunk #210,Female,Medium,2,Straight Hair Dark,,,,,,Earring,,
CryptoPunk #211,Male,Dark,2,Mohawk Thin,,,,Goat,,,,
CryptoPunk #212,Female,Dark,2,Crazy Hair,,Hot Lipstick,,,,,,
CryptoPunk #213,Female,Medium,1,Crazy Hair,,,,,,,,
CryptoPunk #214,Male,Dark,2,Mohawk,,,,Front Beard Dark,,,,
CryptoPunk #215,Female,Medium,1,Mohawk,,,,,,,,
CryptoPunk #216,Male,Medium,1,Bandana,,,,,,,,
CryptoPunk #217,Male,Medium,3,Mohawk Dark,,,,Chinstrap,,Earring,,
CryptoPunk #218,Male,Light,4,Cap,Regular Shades,,,Handlebars,,,Mole,
CryptoPunk #219,Female,Dark,4,Bandana,Clown Eyes Blue,,,,,Earring,Rosy Cheeks,
CryptoPunk #220,Male,Albino,2,Headband,Big Shades,,,,,,,
CryptoPunk #221,Male,Dark,4,Stringy Hair,Classic Shades,,Cigarette,Muttonchops,,,,
CryptoPunk #222,Male,Light,3,Do-rag,Small Shades,,Pipe,,,,,
CryptoPunk #223,Male,Light,3,Crazy Hair,Nerd Glasses,,,Normal Beard,,,,
CryptoPunk #224,Male,Light,4,Headband,Nerd Glasses,,Cigarette,,,Earring,,
CryptoPunk #225,Female,Medium,3,Orange Side,,Hot Lipstick,,,,Earring,,
CryptoPunk #226,Female,Medium,1,,,Hot Lipstick,,,,,,
CryptoPunk #227,Female,Medium,1,Wild White Hair,,,,,,,,
CryptoPunk #228,Male,Medium,2,Peak Spike,Small Shades,,,,,,,
CryptoPunk #229,Male,Light,2,Messy Hair,,,Cigarette,,,,,
CryptoPunk #230,Male,Dark,2,Knitted Cap,,,,Luxurious Beard,,,,
CryptoPunk #231,Female,Medium,3,Stringy Hair,,,Pipe,,,Earring,,
CryptoPunk #232,Female,Dark,2,Wild Hair,Blue Eye Shadow,,,,,,,
CryptoPunk #233,Female,Albino,2,Bandana,,Hot Lipstick,,,,,,
CryptoPunk #234,Male,Light,2,Knitted Cap,Nerd Glasses,,,,,,,
CryptoPunk #235,Male,Light,2,Frumpy Hair,,,Cigarette,,,,,
CryptoPunk #236,Male,Light,2,Vampire Hair,,,,Muttonchops,,,,
CryptoPunk #237,Male,Dark,2,Mohawk,Regular Shades,,,,,,,
CryptoPunk #238,Female,Medium,2,Straight Hair Dark,Clown Eyes Green,,,,,,,
CryptoPunk #239,Male,Dark,3,Mohawk,,Frown,,Goat,,,,
CryptoPunk #240,Female,Medium,2,Straight Hair Blonde,Big Shades,,,,,,,
CryptoPunk #241,Female,Light,1,Wild Blonde,,,,,,,,
CryptoPunk #242,Female,Dark,2,Stringy Hair,,Black Lipstick,,,,,,
CryptoPunk #243,Male,Light,4,Police Cap,,,Cigarette,Front Beard,,Earring,,
CryptoPunk #244,Female,Light,3,Wild Hair,Regular Shades,Purple Lipstick,,,,,,
CryptoPunk #245,Female,Dark,1,Dark Hair,,,,,,,,
CryptoPunk #246,Male,Albino,3,Bandana,,,,Luxurious Beard,,Earring,,
CryptoPunk #247,Female,Dark,2,Mohawk Dark,Green Eye Shadow,,,,,,,
CryptoPunk #248,Female,Dark,2,Messy Hair,Purple Eye Shadow,,,,,,,
CryptoPunk #249,Female,Light,1,Orange Side,,,,,,,,
CryptoPunk #250,Female,Medium,3,Frumpy Hair,Clown Eyes Green,,,,,Earring,,
CryptoPunk #251,Female,Light,2,Mohawk Dark,Green Eye Shadow,,,,,,,
CryptoPunk #252,Male,Albino,2,Cap Forward,,,,,,,Mole,
CryptoPunk #253,Female,Dark,2,Blonde Short,Clown Eyes Green,,,,,,,
CryptoPunk #254,Male,Light,1,Fedora,,,,,,,,
CryptoPunk #255,Male,Light,2,Shaved Head,,,,Mustache,,,,
CryptoPunk #256,Male,Dark,4,Fedora,Eye Patch,,Vape,,,Earring,,
CryptoPunk #257,Male,Light,2,Cap,,Frown,,,,,,
CryptoPunk #258,Male,Medium,2,Cap Forward,,,,Handlebars,,,,
CryptoPunk #259,Male,Light,3,Cap Forward,Eye Mask,,,,,Earring,,
CryptoPunk #260,Male,Dark,2,Purple Hair,3D Glasses,,,,,,,
CryptoPunk #261,Female,Dark,2,Wild White Hair,,Black Lipstick,,,,,,
CryptoPunk #262,Female,Dark,2,Blonde Short,Regular Shades,,,,,,,
CryptoPunk #263,Male,Albino,2,Messy Hair,,,,Muttonchops,,,,
CryptoPunk #264,Female,Albino,2,Wild White Hair,,,,,,Earring,,
CryptoPunk #265,Male,Dark,3,Cap Forward,,,,,Gold Chain,Earring,,
CryptoPunk #266,Male,Dark,3,Do-rag,Small Shades,,,,,Earring,,
CryptoPunk #267,Male,Dark,2,Fedora,,,,,,,,Clown Nose
CryptoPunk #268,Female,Light,1,Knitted Cap,,,,,,,,
CryptoPunk #269,Male,Dark,4,Hoodie,Small Shades,,,Luxurious Beard,,Earring,,
CryptoPunk #270,Female,Medium,2,Red Mohawk,Clown Eyes Blue,,,,,,,
CryptoPunk #271,Male,Medium,1,Stringy Hair,,,,,,,,
CryptoPunk #272,Male,Medium,2,Messy Hair,,Buck Teeth,,,,,,
CryptoPunk #273,Male,Light,2,Cap Forward,Big Shades,,,,,,,
CryptoPunk #274,Male,Light,4,Cap,Regular Shades,,,Handlebars,,Earring,,
CryptoPunk #275,Female,Medium,3,Stringy Hair,Purple Eye Shadow,Purple Lipstick,,,,,,
CryptoPunk #276,Female,Light,1,Crazy Hair,,,,,,,,
CryptoPunk #277,Female,Light,1,Red Mohawk,,,,,,,,
CryptoPunk #278,Female,Albino,2,Straight Hair Dark,,Black Lipstick,,,,,,
CryptoPunk #279,Female,Medium,3,Straight Hair Blonde,Blue Eye Shadow,Purple Lipstick,,,,,,
CryptoPunk #280,Male,Albino,1,,,,,,,Earring,,
CryptoPunk #281,Male,Light,0,,,,,,,,,
CryptoPunk #282,Female,Albino,2,Straight Hair Dark,Classic Shades,,,,,,,
CryptoPunk #283,Female,Light,2,Frumpy Hair,,Hot Lipstick,,,,,,
CryptoPunk #284,Male,Albino,1,Mohawk Thin,,,,,,,,
CryptoPunk #285,Female,Light,2,Dark Hair,,Purple Lipstick,,,,,,
CryptoPunk #286,Male,Albino,2,Wild Hair,,,,Goat,,,,
CryptoPunk #287,Female,Albino,3,Mohawk,Purple Eye Shadow,,Cigarette,,,,,
CryptoPunk #288,Male,Albino,1,Shaved Head,,,,,,,,
CryptoPunk #289,Female,Medium,2,Mohawk Thin,Eye Patch,,,,,,,
CryptoPunk #290,Female,Medium,1,Wild Blonde,,,,,,,,
CryptoPunk #291,Male,Medium,2,Mohawk Thin,,,,,,Earring,,
CryptoPunk #292,Female,Light,2,Tassle Hat,,Black Lipstick,,,,,,
CryptoPunk #293,Male,Light,2,Mohawk Dark,,,,Handlebars,,,,
CryptoPunk #294,Male,Dark,3,Hoodie,Big Shades,,,,,Earring,,
CryptoPunk #295,Male,Medium,2,Shaved Head,,Frown,,,,,,
CryptoPunk #296,Male,Medium,1,Mohawk Thin,,,,,,,,
CryptoPunk #297,Male,Medium,2,Crazy Hair,,,,Muttonchops,,,,
CryptoPunk #298,Female,Light,1,Half Shaved,,,,,,,,
CryptoPunk #299,Male,Dark,2,Do-rag,,,,Muttonchops,,,,
CryptoPunk #300,Male,Light,2,Headband,,,,Goat,,,,
CryptoPunk #301,Female,Albino,3,Red Mohawk,Green Eye Shadow,Hot Lipstick,,,,,,
CryptoPunk #302,Female,Medium,3,Bandana,Blue Eye Shadow,Purple Lipstick,,,,,,
CryptoPunk #303,Female,Dark,2,Red Mohawk,,Purple Lipstick,,,,,,
CryptoPunk #304,Male,Medium,2,Peak Spike,,,,Shadow Beard,,,,
CryptoPunk #305,Female,Albino,3,Blonde Bob,VR,Purple Lipstick,,,,,,
CryptoPunk #306,Female,Light,2,Wild Hair,,,Vape,,,,,
CryptoPunk #307,Male,Medium,2,Frumpy Hair,,,,Chinstrap,,,,
CryptoPunk #308,Male,Light,3,Messy Hair,Horned Rim Glasses,,,,,,Mole,
CryptoPunk #309,Male,Medium,2,Shaved Head,Big Shades,,,,,,,
CryptoPunk #310,Male,Dark,4,Bandana,Classic Shades,,Vape,,,Earring,,
CryptoPunk #311,Male,Light,2,Frumpy Hair,,,,Front Beard,,,,
CryptoPunk #312,Male,Light,2,Cap Forward,,,,Chinstrap,,,,
CryptoPunk #313,Female,Light,2,Mohawk Dark,,Purple Lipstick,,,,,,
CryptoPunk #314,Male,Albino,2,Police Cap,Eye Mask,,,,,,,
CryptoPunk #315,Female,Medium,3,Wild White Hair,,Black Lipstick,Cigarette,,,,,
CryptoPunk #316,Female,Dark,1,Bandana,,,,,,,,
CryptoPunk #317,Male,Medium,3,Bandana,,Frown,,Chinstrap,,,,
CryptoPunk #318,Female,Albino,3,Bandana,,Hot Lipstick,Cigarette,,,,,
CryptoPunk #319,Female,Light,2,Straight Hair Dark,,,,,,Earring,,
CryptoPunk #320,Male,Dark,1,Stringy Hair,,,,,,,,
CryptoPunk #321,Male,Medium,1,Peak Spike,,,,,,,,
CryptoPunk #322,Female,Medium,3,Pink With Hat,Clown Eyes Green,Black Lipstick,,,,,,
CryptoPunk #323,Male,Dark,1,Mohawk Dark,,,,,,,,
CryptoPunk #324,Female,Albino,3,Blonde Bob,,Hot Lipstick,,,,Earring,,
CryptoPunk #325,Male,Dark,3,Police Cap,Small Shades,,,Mustache,,,,
CryptoPunk #326,Female,Dark,3,Wild White Hair,,Hot Lipstick,,,,Earring,,
CryptoPunk #327,Male,Albino,1,Crazy Hair,,,,,,,,
CryptoPunk #328,Male,Light,2,Bandana,Horned Rim Glasses,,,,,,,
CryptoPunk #329,Female,Medium,2,Bandana,Eye Patch,,,,,,,
CryptoPunk #330,Male,Medium,2,Knitted Cap,Clown Eyes Green,,,,,,,
CryptoPunk #331,Female,Albino,3,Tassle Hat,,Purple Lipstick,,,,Earring,,
CryptoPunk #332,Male,Dark,2,Stringy Hair,Horned Rim Glasses,,,,,,,
CryptoPunk #333,Female,Light,3,Straight Hair Blonde,Purple Eye Shadow,Purple Lipstick,,,,,,
CryptoPunk #334,Male,Dark,2,Wild Hair,,,,Big Beard,,,,
CryptoPunk #335,Male,Medium,1,Clown Hair Green,,,,,,,,
CryptoPunk #336,Male,Medium,3,Top Hat,Nerd Glasses,,,Normal Beard,,,,
CryptoPunk #337,Male,Medium,1,Frumpy Hair,,,,,,,,
